#File format: word,sPoint,nPoint,yPoint(,saPoint,sbPoint,naPoint,maPoint,yaPoint)

#Sayori's winning words
happiness,3,2,1,3,2,1,2,1
sadness,3,2,1,3,2,1,2,1
death,3,1,2,3,2,1,2,1
tragedy,3,1,2,3,2,1,2,1
alone,3,1,2,3,2,1,2,1
love,3,2,1,3,2,1,2,1
adventure,3,2,1,3,2,1,2,1
sweet,3,2,1,3,2,1,2,1
excitement,3,2,1,3,2,1,2,1
fireworks,3,2,1,3,2,1,2,1
romance,3,2,1,3,2,1,2,1
tears,3,1,2,3,2,1,2,1
depression,3,1,2,3,2,1,2,1
heart,3,2,1,3,2,1,2,1
marriage,3,2,1,3,2,1,2,1
passion,3,2,1,3,2,1,2,1
childhood,3,2,1,3,2,1,2,1
fun,3,2,1,3,2,1,2,1
color,3,2,1,3,2,1,2,1
hope,3,1,2,3,2,1,2,1
friends,3,2,1,3,2,1,2,1
family,3,2,1,3,2,1,2,1
party,3,2,1,3,2,1,2,1
vacation,3,2,1,3,2,1,2,1
lazy,3,2,1,3,2,1,2,1
daydream,3,1,2,3,2,1,2,1
pain,3,1,2,3,2,1,2,1
holiday,3,2,1,3,2,1,2,1
bed,3,2,1,3,2,1,2,1
feather,3,2,1,3,2,1,2,1
shame,3,1,2,3,2,1,2,1
fear,3,1,2,3,2,1,2,1
warm,3,2,1,3,2,1,2,1
flower,3,2,1,3,2,1,2,1
comfort,3,2,1,3,2,1,2,1
dance,3,2,1,3,2,1,2,1
sing,3,2,1,3,2,1,2,1
cry,3,1,2,3,2,1,2,1
laugh,3,2,1,3,2,1,2,1
dark,3,1,2,3,2,1,2,1
sunny,3,2,1,3,2,1,2,1
raincloud,3,2,1,2,1
calm,3,1,2,3,2,1,2,1
silly,3,2,1,3,2,1,2,1
flying,3,2,1,3,2,1,2,1
wonderful,3,2,1,3,2,1,2,1
unrequited,3,1,2,3,2,1,2,1
rose,3,1,2,3,2,1,2,1
together,3,2,1,3,2,1,2,1
promise,3,2,1,3,2,1,2,1
charm,3,2,1,3,2,1,2,1
beauty,3,2,1,3,2,1,2,1
cheer,3,2,1,3,2,1,2,1
smile,3,2,1,3,2,1,2,1
broken,3,1,2,3,2,1,2,1
precious,3,2,1,3,2,1,2,1
prayer,3,1,2,3,2,1,2,1
clumsy,3,2,1,3,2,1,2,1
forgive,3,1,2,3,2,1,2,1
nature,3,2,1,3,2,1,2,1
ocean,3,2,1,3,2,1,2,1
dazzle,3,2,1,3,2,1,2,1
special,3,2,1,3,2,1,2,1
music,3,2,1,3,2,1,2,1
lucky,3,2,1,3,2,1,2,1
misfortune,3,1,2,2,1
loud,3,2,1,3,2,1,2,1
peaceful,3,1,2,3,2,1,2,1
joy,3,1,2,3,2,1,2,1
sunset,3,2,1,3,2,1,2,1
fireflies,3,2,1,3,2,1,2,1
rainbow,3,2,1,3,2,1,2,1
hurt,3,1,2,3,2,1,2,1
play,3,2,1,3,2,1,2,1
sparkle,3,2,1,3,2,1,2,1
scars,3,1,2,3,2,1,2,1
empty,3,1,2,3,2,1,2,1
amazing,3,2,1,3,2,1,2,1
grief,3,1,2,3,2,1,2,1
embrace,3,1,2,3,2,1,2,1
extraordinary,3,2,1,2,1
awesome,3,2,1,3,2,1,2,1
defeat,3,1,2,3,2,1,2,1
hopeless,3,1,2,3,2,1,2,1
misery,3,1,2,3,2,1,2,1
treasure,3,2,1,3,2,1,2,1
bliss,3,2,1,3,2,1,2,1
memories,3,2,1,3,2,1,2,1

#Natsuki's words
cute,2,3,1,2,3,1,2,1
fluffy,2,3,1,2,3,1,2,1
pure,1,3,2,2,3,1,2,1
candy,2,3,1,2,3,1,2,1
shopping,2,3,1,2,3,1,2,1
puppy,2,3,1,2,3,1,2,1
kitty,2,3,1,2,3,1,2,1
clouds,2,3,1,2,3,1,2,1
lipstick,1,3,2,2,3,1,2,1
parfait,2,3,1,2,3,1,2,1
strawberry,2,3,1,2,3,1,2,1
pink,2,3,1,2,3,1,2,1
chocolate,2,3,1,2,3,1,2,1
heartbeat,1,3,2,2,3,1,2,1
kiss,1,3,2,2,3,1,2,1
melody,2,3,1,2,3,1,2,1
ribbon,2,3,1,2,3,1,2,1
jumpy,2,3,1,2,3,1,2,1
doki-doki,2,3,1,2,3,1,2,1
kawaii,2,3,1,2,3,1,2,1
skirt,2,3,1,2,3,1,2,1
cheeks,2,3,1,2,3,1,2,1
email,2,3,1,2,3,1,2,1
sticky,2,3,1,2,3,1,2,1
bouncy,2,3,1,2,3,1,2,1
shiny,2,3,1,2,3,1,2,1
nibble,2,3,1,2,3,1,2,1
fantasy,1,3,2,2,3,1,2,1
sugar,2,3,1,2,3,1,2,1
giggle,2,3,1,2,3,1,2,1
marshmallow,2,3,1,2,3,1,2,1
hop,2,3,1,2,3,1,2,1
skipping,2,3,1,2,3,1,2,1
peace,2,3,1,2,3,1,2,1
spinning,2,3,1,2,3,1,2,1
twirl,2,3,1,2,3,1,2,1
lollipop,2,3,1,2,3,1,2,1
poof,2,3,1,2,3,1,2,1
bubbles,2,3,1,2,3,1,2,1
whisper,2,3,1,2,3,1,2,1
summer,2,3,1,2,3,1,2,1
waterfall,1,3,2,2,3,1,2,1
swimsuit,2,3,1,2,3,1,2,1
vanilla,2,3,1,2,3,1,2,1
headphones,2,3,1,2,3,1,2,1
games,2,3,1,2,3,1,2,1
socks,2,3,1,2,3,1,2,1
hair,2,3,1,2,3,1,2,1
playground,2,3,1,2,3,1,2,1
nightgown,1,3,2,2,3,1,2,1
blanket,1,3,2,2,3,1,2,1
milk,2,3,1,2,3,1,2,1
pout,2,3,1,2,3,1,2,1
anger,2,3,1,2,3,1,2,1
papa,2,3,1,2,3,1,2,1
valentine,2,3,1,2,3,1,2,1
mouse,1,3,2,2,3,1,2,1
whistle,2,3,1,2,3,1,2,1
boop,2,3,1,2,3,1,2,1
bunny,2,3,1,2,3,1,2,1
anime,2,3,1,2,3,1,2,1
jump,2,3,1,2,3,1,2,1

#Yuri's words
determination,1,1,3,1,2,1,1,3
suicide,2,1,3,1,1,3,2,1
imagination,2,1,3,1,1,3,2,1
secretive,2,1,3,1,1,3,2,1
vitality,1,1,3,1,1,3,2,1
existence,2,1,3,1,1,3,2,1
effulgent,1,1,3,1,1,3,2,1
crimson,1,1,3,1,1,3,2,1
whirlwind,1,1,3,1,1,3,2,1
afterimage,1,1,3,1,1,3,2,1
vertigo,1,1,3,1,1,3,2,1
disoriented,1,1,3,1,1,3,2,1
essence,2,1,3,1,1,3,2,1
ambient,2,1,3,1,1,3,2,1
starscape,2,1,3,1,1,3,2,1
disarray,1,1,3,1,1,3,2,1
contamination,1,1,3,1,1,3,2,1
intellectual,1,1,3,1,1,3,2,1
analysis,1,1,3,1,1,3,2,1
entropy,1,1,3,1,1,3,2,1
vivacious,1,1,3,1,1,3,2,1
uncanny,2,1,3,1,1,3,2,1
incongruent,1,1,3,1,1,3,2,1
wrath,2,1,3,1,1,3,2,1
heavensent,2,1,3,1,1,3,2,1
massacre,2,1,3,1,1,3,2,1
philosophy,1,1,3,1,1,3,2,1
fickle,1,1,3,1,1,3,2,1
tenacious,1,1,3,1,1,3,2,1
aura,2,1,3,1,1,3,2,1
unstable,1,1,3,1,1,3,2,1
inferno,2,1,3,1,1,3,2,1
incapable,2,1,3,1,1,3,2,1
destiny,2,1,3,1,1,3,2,1
infallible,1,1,3,1,1,3,2,1
agonizing,2,1,3,1,1,3,2,1
variance,1,1,3,1,1,3,2,1
uncontrollable,2,1,3,1,1,3,2,1
extreme,1,1,3,1,1,3,2,1
flee,2,1,3,1,1,3,2,1
dream,2,2,3,1,1,3,2,1
disaster,2,1,3,1,1,3,2,1
vivid,2,1,3,1,1,3,2,1
vibrant,1,2,3,1,1,3,2,1
question,1,2,3,1,1,3,2,1
fester,2,1,3,1,1,3,2,1
judgment,1,1,3,1,1,3,2,1
cage,1,2,3,1,1,3,2,1
explode,1,2,3,1,1,3,2,1
pleasure,1,2,3,1,1,3,2,1
lust,1,2,3,1,1,3,2,1
sensation,1,2,3,1,1,3,2,1
climax,1,2,3,1,1,3,2,1
electricity,1,2,3,1,1,3,2,1
disown,1,1,3,1,1,3,2,1
despise,2,1,3,1,1,3,2,1
infinite,2,1,3,1,1,3,2,1
eternity,2,1,3,1,1,3,2,1
time,2,1,3,1,1,3,2,1
universe,2,1,3,1,1,3,2,1
unending,2,1,3,1,1,3,2,1
raindrops,2,1,3,1,1,3,2,1
covet,1,1,3,1,1,3,2,1
unrestrained,1,1,3,1,1,3,2,1
landscape,2,1,3,1,1,3,2,1
portrait,2,1,3,1,1,3,2,1
journey,2,1,3,1,1,3,2,1
meager,1,1,3,1,1,3,2,1
anxiety,2,1,3,1,1,3,2,1
frightening,2,1,3,1,1,3,2,1
horror,2,1,3,1,1,3,2,1
melancholy,2,1,3,1,1,3,2,1
insight,2,1,3,1,1,3,2,1
atone,2,1,3,1,1,3,2,1
breathe,1,2,3,1,1,3,2,1
